no,tag_name,classification,note
1,#にじワイテ人狼RPG,イベント,-
2,#フミとも,グループ名,「フミとも」に変更すべき
3,#フルトイ,グループ名,「フルトイ」へ統一すべき
4,#白雪巴新衣装,企画名,「白雪巴新衣装」へ統一すべき
5,2.0,中分類タグ,-
6,3.0,中分類タグ,-
7,3D,中分類タグ,-
8,8番出口,ゲーム名,-
9,APEX部2434キルリレー,イベント,-
10,ASMR,大分類タグ,-
11,ASTRONEER,ゲーム名,-
12,Amanda the Adventurer,ゲーム名,-
13,Among Us,ゲーム名,-
14,Among the Sleep,ゲーム名,-
15,Apex Legends,ゲーム名,-
16,CH4NGE,楽曲名,-
17,CLOSED NIGHTMARE,ゲーム名,-
18,CONTROL,ゲーム名,-
19,Crime Scene Cleaner,ゲーム名,-
20,Crossick,グループ名,-
21,Cry of Fear,ゲーム名,-
22,Crystal Isles - ARK Expansion Map,ゲーム名,-
23,DEVOUR,ゲーム名,-
24,DON'T SCREAM,ゲーム名,-
25,Dark Deception,ゲーム名,-
26,Dead by Daylight,ゲーム名,-
27,Detroit: Become Human,ゲーム名,-
28,Echocalypse -緋紅の神約-,ゲーム名,-
29,FIVE NIGHTS AT FREDDY'S: HELP WANTED,ゲーム名,-
30,FPS/TPS,中分類タグ,-
31,FREE編,中分類タグ,-
32,Fall Guys,ゲーム名,-
33,Fast Food Simulator,ゲーム名,-
34,Friday the 13th: The Game,ゲーム名,-
35,Gartic Phone,ゲーム名,-
36,Getting Over It with Bennett Foddy,ゲーム名,-
37,Ghostwire: Tokyo,ゲーム名,-
38,Good Job!,ゲーム名,-
39,Grand Theft Auto V (GTA5),ゲーム名,-
40,HEAVY RAIN 心の軋むとき,ゲーム名,-
41,Hand Simulator,ゲーム名,-
42,Hex Haywire,人名,-
43,IF雪メイキング,企画名,-
44,INSIDE,ゲーム名,-
45,Ib,ゲーム名,-
46,IdentityV 第五人格,ゲーム名,-
47,Infliction,ゲーム名,-
48,Knockout City,ゲーム名,-
49,Kotoka Torahime,人名,-
50,LIMBO,ゲーム名,-
51,LITTLE NIGHTMARES,ゲーム名,-
52,LITTLE NIGHTMARES Ⅱ,ゲーム名,-
53,Layers of Fear,ゲーム名,-
54,Layers of Fear: Inheritance,ゲーム名,-
55,MOOZ,ゲーム名,-
56,Minecraft,ゲーム名,-
57,NEEDY GIRL OVERDOSE,ゲーム名,-
58,NIJIPuyoTetris2023,イベント,-
59,NNOP2022,イベント,-
60,NieR:Automata,ゲーム名,-
61,Niji_AmongUs,イベント,-
62,OUTLAST,ゲーム名,-
63,OUTLAST2,ゲーム名,-
64,Only Up!,ゲーム名,-
65,PAON,ゲーム名,-
66,PIEN,ゲーム名,-
67,PUBG LITE,ゲーム名,-
68,"Papers, Please",ゲーム名,-
69,Paranormal Cleanup,ゲーム名,-
70,Pineapple on pizza,ゲーム名,-
71,Pokémon LEGENDS アルセウス,ゲーム名,-
72,Project Winter,ゲーム名,-
73,Q REMASTERED,ゲーム名,-
74,RPG,中分類タグ,-
75,Refind Self：性格診断ゲーム,ゲーム名,-
76,SCP：極秘ファイル,ゲーム名,-
77,SUPER BOMBERMAN R2,ゲーム名,-
78,Seven Nights Ghost,ゲーム名,-
79,Shadow Corridor 2 雨ノ四葩,ゲーム名,-
80,Sharks and Minnows,ゲーム名,-
81,Slither.io,ゲーム名,-
82,Super Bunny Man,ゲーム名,-
83,TEKE TEKE,ゲーム名,-
84,TETRIS 99,ゲーム名,-
85,TOKYO DARK,ゲーム名,-
86,TOMB RAIDER,ゲーム名,-
87,TRPG,中分類タグ,-
88,The Medium,ゲーム名,-
89,The Outlast Trials,ゲーム名,-
90,Tormented Souls,ゲーム名,-
91,Unknown Tapes,ゲーム名,-
92,VALORANT,ゲーム名,-
93,Virtual to LIVE in 両国国技館 2019,イベント,-
94,Visage,ゲーム名,-
95,WE WERE HERE Too,ゲーム名,-
96,We Were Here Forever,ゲーム名,-
97,We Were Here Together,ゲーム名,-
98,Within Skerry,ゲーム名,-
99,World of Warships Legends,ゲーム名,-
100,W白雪コラボ,グループ名,-
101,Your Toy,ゲーム名,-
102,[Chilla's Art] Parasocial \,パラソーシャル,ゲーム名
103,[Chilla's Art] The Kidnap \,誘拐事件,ゲーム名
104,shorts,中分類タグ,-
105,unpacking,ゲーム名,-
106,varkshorts,中分類タグ,-
107,あつまれどうぶつの森,ゲーム名,-
108,いっ杯晩酌,企画名,-
109,うちには天使がいる！,ゲーム名,-
110,えま★おうがすと,人名,-
111,おえもりにじさんじ杯,イベント,-
112,おくだけドリル,ゲーム名,-
113,おすそわけるメイドインワリオ,ゲーム名,-
114,お悩み相談,中分類タグ,-
115,お披露目,大分類タグ,-
116,こちら、母なる星より,ゲーム名,-
117,ことばのパズル　もじぴったんアンコール,ゲーム名,-
118,ごく普通の鹿のゲーム DEEEER Simulator,ゲーム名,-
119,ささやき,中分類タグ,-
120,じごくのインターネッツ,ゲーム名,-
121,じんるいのみなさまへ,ゲーム名,-
122,せどまいり,ゲーム名,-
123,つぐのひ -彁名縛りの部屋-,ゲーム名,-
124,つぐのひ -忌み夜の喰霊品店-,ゲーム名,-
125,つぐのひ -昭和からの呼び声-,ゲーム名,-
126,にじARK,イベント,-
127,にじさんじ 4th Anniversary「FANTASIA」DAY1,イベント,-
128,にじさんじ6周年,イベント,-
129,にじさんじDBD大会,イベント,-
130,にじさんじアイラブ歌リレー,イベント,-
131,にじさんじカウントダウンライブ,イベント,-
132,にじさんじスプラ杯,イベント,-
