video_id,title,hashtags,tags,published_at,duration
5E44XQKfviM,活動休止中に作詞したオリジナル曲 #shorts #白雪巴 #vtuber #歌ってみた,"#shorts, #白雪巴, #vtuber, #歌ってみた","歌, オリジナル曲",2025-05-06T03:01:49Z,PT27S
Goco9N0eRAs,【#白雪巴ファンミーティング】お疲れ様でした✨振り返り配信！！！みんなBIG LOVE―――💓【白雪 巴/にじさんじ】,#白雪巴ファンミーティング,"イベント, ファンミーティング, 振り返り雑談",2025-05-05T17:04:28Z,PT3H51M16S
pNUYRiKaiuM,【#白雪巴ファンミーティング】ファンミ直前配信✨みんなの洋服や持っていくもの見せて💓【白雪 巴/にじさんじ】,#白雪巴ファンミーティング,"イベント, ファンミーティング",2025-05-01T16:02:50Z,PT2H50M1S
LVApO9ysLMM,【#マリカにじさんじ杯】予選Bリーグ🔥モテたいがために免許を取った女代表【白雪 巴/にじさんじ】,#マリカにじさんじ杯,"イベント, 大会, マリオカート8DX",2025-04-27T07:51:26Z,PT57M33S
26BwSCpJen4,ローション塗れの床でスクワット何回できるか試してみた #shorts #白雪巴　#vtuber #3d,"#shorts, #白雪巴, #vtuber, #3d","企画, ガチレポ！",2025-04-08T09:00:02Z,PT21S
ET4Zgcj4QnM,【晩酌】やっぱつれーわ…過去の恋愛トーク暴露回！？お姉さんの一杯飲み終わるまでホロ酔いトーク #いっ杯晩酌 07【白雪 巴/にじさんじ】,#いっ杯晩酌,"雑談, 晩酌",2025-03-23T15:25:53Z,PT2H15M9S
wNcyHAjZxCw,【エモクロアTRPG】アンデッド・デット・デビルズ #女王と会長TRPG【DL：ぱぱびっぷ PL：来栖夏芽 白雪巴】,#女王と会長TRPG【DL：ぱぱびっぷ,"朗読・声劇, コラボ, ぱぱびっぷ, 来栖夏芽, TRPG, エモクロアTRPG",2025-03-22T15:04:31Z,PT4H44M4S
Ccc-pL3e83U,【#ガチ百合】本当にあったリアル百合エピソード＃７【白雪 巴/にじさんじ】,#ガチ百合,"百合, リアル百合エピソード",2025-03-03T15:14:15Z,PT2H6M18S
FjKDwt-5s8c,#白雪巴誕生日2025【スプラトゥーン3】視聴者参加型でプラべ！スプラとフェスでぶち上がるッッ↑↑↑【白雪 巴/にじさんじ】,#白雪巴誕生日2025【スプラトゥーン3,"イベント, 誕生祭, スプラトゥーン3, 対戦・アクションゲーム",2025-02-09T10:03:32Z,PT3H49M47S
DYHwyWSrZrw,#白雪巴誕生日2025 ※告知あり！【Among Us】自分、誕生日に視聴者参加型で宇宙人狼してもいいですか？【白雪 巴/にじさんじ】,#白雪巴誕生日2025,"イベント, 誕生祭, Among Us",2025-02-08T18:25:17Z,PT5H9M30S
fjuwIYa1iDA,#白雪巴誕生日2025【雀魂】視聴者参加型でじゃんたま！わっしょい！！【白雪 巴/にじさんじ】,#白雪巴誕生日2025【雀魂,"イベント, 誕生祭, 雀魂",2025-02-08T10:54:28Z,PT4H39M31S
iRrhid52s7I,【#にじさんじ麻雀杯2025】過去イチ声がヤバい白雪は「ロン！」「ツモ！」を言えるのか？【白雪 巴/にじさんじ】,#にじさんじ麻雀杯2025,"イベント, 大会, にじさんじ麻雀杯2025, 雀魂",2025-01-11T06:17:35Z,PT41M46S
JqeSSJenqco,【同時視聴】#にじさんじカウントダウンライブ を飲酒しながら綺沙良さんと観る！！！🍺✨【白雪 巴/にじさんじ】,#にじさんじカウントダウンライブ,"雑談, フリートーク, 天宮こころ, コラボ, コラボ雑談, にじさんじカウントダウンライブ",2024-12-31T17:06:57Z,PT3H43M35S
r0pow1Efqq0,#一旦ステイTONIGHT ぶっつけ本番でグウェルちゃんと踊りました #shorts #夜王国 #vtuber #3d,"#一旦ステイTONIGHT, #shorts, #夜王国, #vtuber, #3d","歌, 歌枠, グウェル・オス・ガール, 夜王国, コラボ, 3D",2024-12-31T15:01:20Z,PT39S
1vWt6UaRebc,新衣装お披露目💕天使？女神？それとも…… #shorts #vtuber #にじさんじ #白雪巴 #新衣装 【白雪 巴/にじさんじ】,"#shorts, #vtuber, #にじさんじ, #白雪巴, #新衣装","お披露目, 新衣装",2024-12-26T09:00:02Z,PT1M11S
OJIUciNXDtg,【#白雪巴新衣装】聖なる夜に舞い降りた女神です✨重大発表も…！？【白雪 巴/にじさんじ】,#白雪巴新衣装,"お披露目, 新衣装",2024-12-25T14:54:55Z,PT2H40M31S
Vl_WqUgyLAQ,リスナーとの関係性を奇抜な例えで説明する白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-12-11T11:00:38Z,PT1M
S6JFHgMqgvo,【#白雪巴5周年】ただいま。良い子にお留守番してた？【白雪 巴/にじさんじ】,#白雪巴5周年,"イベント, 周年記念",2024-11-30T17:31:38Z,PT5H13M40S
V-nwjpvE0n8,誰でも一度は思ったことある…よね？？？？ #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-08-19T01:00:12Z,PT39S
_8TTwyRX0zg,【晩酌】一番しんどかったバイトって？ドッキリっておもろいよね…お姉さんの一杯飲み終わるまでホロ酔いトーク #いっ杯晩酌 06【白雪 巴/にじさんじ】,#いっ杯晩酌,"雑談, 晩酌",2024-08-12T17:56:14Z,PT3H41M58S
xTX8WyzyLZ8,SNSで見たプルプルえっっっな唇になりたくて即買いした白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","企画, ガチレポ！",2024-08-04T03:00:45Z,PT36S
J3Wi7fzimSU,【#百合漫画家様対談コラボ】✨第3回ゲストはゆあま先生✨「君と綴るうたかた」「イケメンすぎです紫葵先パイ！」など【白雪 巴/にじさんじ】,#百合漫画家様対談コラボ,"百合, 百合漫画家様対談コラボ, コラボ, ゆあま",2024-07-29T14:29:43Z,PT2H20M58S
GZcXx4NcBiU,百合漫画家のリア友にNG出された白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-07-28T03:00:09Z,PT43S
_aXexvxwkBs,露天風呂の素材に脳内まっピンクになる白雪巴 #shorts #vtuber #minecraft #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #minecraft, #切り抜き, #にじさんじ, #白雪巴","ゲーム実況, Minecraft",2024-07-11T09:00:26Z,PT35S
wZ1afNuBrC0,※罵倒注意※椅子になりたい人へ #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","ASMR, 駄犬",2024-07-08T09:00:47Z,PT1M
UdQzFjx21ts,トロッコ問題でメンタルやられまくる白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-06-30T03:00:17Z,PT1M
